Upper 1,rep count,tempo
Wide Grip Lat Pulldown,(3x10),3-1-3 Tempo
DB Row,(3x10),3-1-3 Tempo
DB Bench Press,(3x10),3-1-3 Tempo
DB OH Press,(3x10),3-1-3 Tempo
DB Curl,(3x10),3-1-3 Tempo
DB Hammer Curl,(3x10),3-1-3 Tempo
Russian Twists,(3x10),3-1-3 Tempo
Leg Lifts,(3x10),3-1-3 Tempo

Lower 1,rep count,tempo
BB Squat,(3x10),3-1-3 Tempo
DB RDL,(3x10),3-1-3 Tempo
DB Goblet Squat,(3x10),3-1-3 Tempo
Monster Walks,(3x10),3-1-3 Tempo
Calf Raises,(4x10),3-1-3 Tempo
Hanging Leg Raises,(3x10),3-1-3 Tempo
Cable Woodchops,(3x10),3-1-3 Tempo

Upper 2,rep count,tempo
Cable Row,(3x10),3-1-3 Tempo
Supinated Lat Pulldown,(3x10),3-1-3 Tempo
DB Incline Press,(3x10),3-1-3 Tempo
DB Standing Chest Fly,(3x10),3-1-3 Tempo
BB Curl,(3x10),3-1-3 Tempo
Rope Pushdown,(3x10),3-1-3 Tempo
Russian Twists,(3x10),3-1-3 Tempo
Leg Lifts,(3x10),3-1-3 Tempo

Lower 2,rep count,tempo
BB Deadlift,(3x10),3-1-3 Tempo
DB Bulgarian Split Squats,(3x10),3-1-3 Tempo
Quad Ext,(3x10),3-1-3 Tempo
Monster Walks,(3x10),3-1-3 Tempo
Calf Raises,(4x10),3-1-3 Tempo
Hanging Leg Raises,(3x10),3-1-3 Tempo
Cable Woodchops,(3x10),3-1-3 Tempo
